accommodates,bedrooms,beds,bathrooms,longitude,neighbourhood_cleansed,room_type,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,nb_amenities,people_per_bedroom,amenities_per_person
6.0,2.0,2.0,2.0,-122.32357691127716,3.0,0.0,0.0,8.0,96.0,10.0,10.0,12.0,2.0,20.0
3.0,0.0,1.0,1.0,-122.29574436760574,15.0,0.0,3.0,10.0,93.0,10.0,8.0,12.0,3.0,7.0
6.0,3.0,3.0,1.0,-122.30011536346144,15.0,0.0,1.0,10.0,100.0,10.0,10.0,15.0,1.5,20.0
4.0,1.0,2.0,1.0,-122.3145245042932,14.0,0.0,10.0,10.0,90.0,10.0,10.0,13.0,2.0,4.0
2.0,1.0,1.0,3.5,-122.3665112760806,15.0,1.0,10.0,10.0,95.0,10.0,9.0,22.0,1.0,20.0
2.0,1.0,1.0,1.0,-122.3435834722352,4.0,0.0,3.0,10.0,100.0,10.0,10.0,10.0,1.0,8.0
15.0,5.0,9.0,3.0,-122.30119662490958,15.0,0.0,0.0,8.0,96.0,10.0,10.0,22.0,2.5,20.0
6.0,2.0,3.0,2.5,-122.36658143724848,15.0,0.0,10.0,10.0,92.0,10.0,9.0,16.0,2.0,20.0
1.0,1.0,1.0,1.0,-122.31908712323094,14.0,1.0,0.0,8.0,96.0,10.0,10.0,1.0,0.5,20.0
6.0,2.0,2.0,1.0,-122.32338184739912,15.0,0.0,10.0,10.0,77.0,8.0,8.0,14.0,2.0,0.0
2.0,1.0,1.0,1.0,-122.36543798194069,15.0,1.0,2.0,10.0,100.0,10.0,10.0,28.0,1.0,20.0
2.0,1.0,1.0,1.0,-122.39447761315976,15.0,1.0,10.0,10.0,93.0,9.0,10.0,9.0,1.0,7.0
2.0,1.0,1.0,1.0,-122.37557989787996,15.0,0.0,9.0,10.0,100.0,10.0,10.0,16.0,1.0,16.0
2.0,1.0,1.0,1.0,-122.32898000296063,3.0,0.0,10.0,10.0,100.0,10.0,10.0,18.0,1.0,18.0
2.0,1.0,1.0,2.5,-122.36630909477064,15.0,1.0,10.0,10.0,98.0,10.0,10.0,15.0,1.0,15.0
3.0,1.0,1.0,1.0,-122.34779881165326,15.0,0.0,10.0,10.0,98.0,10.0,10.0,13.0,1.5,20.0
2.0,1.0,1.0,1.0,-122.41388180739214,15.0,1.0,10.0,10.0,79.0,8.0,9.0,14.0,1.0,14.0
4.0,1.0,1.0,1.0,-122.32223217998862,14.0,1.0,10.0,10.0,96.0,10.0,10.0,17.0,2.0,9.0
3.0,1.0,1.0,1.0,-122.3753257408229,15.0,1.0,0.0,8.0,96.0,10.0,10.0,12.0,1.5,7.0
2.0,1.0,1.0,1.0,-122.34777487146768,7.0,1.0,10.0,10.0,93.0,10.0,10.0,20.0,1.0,20.0
4.0,1.0,1.0,1.0,-122.36137836276784,15.0,0.0,0.0,8.0,96.0,10.0,10.0,10.0,2.0,0.0
2.0,1.0,2.0,1.0,-122.40273837679248,15.0,1.0,10.0,10.0,86.0,8.0,9.0,16.0,1.0,16.0
5.0,1.0,3.0,1.0,-122.29199955056563,15.0,0.0,10.0,10.0,100.0,10.0,10.0,15.0,2.5,20.0
4.0,2.0,3.0,1.5,-122.38719706284223,15.0,0.0,4.0,10.0,100.0,10.0,10.0,15.0,1.3333333333333333,7.0
2.0,1.0,1.0,1.0,-122.32969625722896,15.0,1.0,6.0,10.0,90.0,10.0,10.0,11.0,1.0,11.0
2.0,1.0,1.0,1.0,-122.32464542376532,15.0,1.0,6.0,10.0,75.0,7.0,7.0,20.0,1.0,20.0
4.0,0.0,2.0,1.0,-122.37674229798984,0.0,0.0,0.0,8.0,96.0,10.0,10.0,16.0,4.0,20.0
2.0,1.0,1.0,1.0,-122.31635463069352,14.0,1.0,10.0,10.0,97.0,10.0,10.0,9.0,1.0,7.0
8.0,3.0,4.0,2.5,-122.35616878067796,15.0,0.0,3.0,10.0,95.0,10.0,9.0,22.0,2.0,20.0
5.0,3.0,2.0,1.5,-122.3152792275667,12.0,0.0,7.0,10.0,100.0,9.0,10.0,15.0,1.25,20.0
3.0,1.0,2.0,1.0,-122.41545457464817,15.0,1.0,4.0,10.0,90.0,9.0,9.0,13.0,1.5,20.0
4.0,2.0,3.0,1.0,-122.37581862242078,15.0,0.0,10.0,10.0,95.0,9.0,9.0,10.0,1.3333333333333333,0.0
2.0,1.0,2.0,1.0,-122.34740030125164,4.0,1.0,10.0,10.0,92.0,9.0,10.0,8.0,1.0,5.0
4.0,2.0,2.0,3.0,-122.27986654417865,15.0,0.0,10.0,10.0,99.0,10.0,10.0,21.0,1.3333333333333333,20.0
2.0,1.0,1.0,1.0,-122.32761469498789,3.0,1.0,10.0,10.0,91.0,8.0,10.0,16.0,1.0,16.0
2.0,1.0,1.0,1.0,-122.36246852511682,15.0,0.0,10.0,10.0,97.0,10.0,10.0,9.0,1.0,7.0
6.0,2.0,3.0,1.0,-122.34852076042066,7.0,0.0,10.0,10.0,97.0,10.0,10.0,18.0,2.0,20.0
2.0,1.0,1.0,1.0,-122.38583049183896,0.0,0.0,2.0,10.0,98.0,10.0,10.0,15.0,1.0,15.0
3.0,1.0,2.0,1.0,-122.33490521305129,13.0,1.0,10.0,10.0,93.0,9.0,10.0,14.0,1.5,10.0
8.0,3.0,5.0,2.0,-122.33680822432828,15.0,0.0,5.0,10.0,93.0,9.0,9.0,7.0,2.0,20.0
4.0,2.0,2.0,1.0,-122.33277302821662,15.0,0.0,10.0,10.0,100.0,10.0,10.0,18.0,1.3333333333333333,20.0
4.0,1.0,2.0,1.0,-122.3461181734977,13.0,0.0,8.0,10.0,97.0,10.0,9.0,17.0,2.0,9.0
2.0,1.0,1.0,1.0,-122.31559908067568,14.0,1.0,10.0,10.0,97.0,10.0,10.0,8.0,1.0,5.0
10.0,3.0,3.0,2.0,-122.28160623445036,15.0,0.0,8.0,10.0,83.0,9.0,7.0,5.0,2.5,20.0
3.0,1.0,1.0,1.0,-122.30072853334316,15.0,0.0,10.0,10.0,100.0,10.0,9.0,14.0,1.5,10.0
2.0,0.0,1.0,1.0,-122.2990467345036,15.0,0.0,10.0,10.0,87.0,9.0,9.0,12.0,2.0,12.0
3.0,1.0,2.0,1.0,-122.31846221975636,9.0,1.0,10.0,10.0,96.0,10.0,9.0,28.0,1.5,20.0
6.0,2.0,4.0,1.0,-122.34721725134202,4.0,0.0,3.0,10.0,94.0,10.0,10.0,19.0,2.0,20.0
8.0,3.0,3.0,2.0,-122.2616098168672,15.0,0.0,10.0,10.0,94.0,9.0,10.0,21.0,2.0,2.0
2.0,1.0,1.0,1.0,-122.2851739762994,15.0,0.0,6.0,10.0,95.0,10.0,10.0,24.0,1.0,20.0
2.0,1.0,1.0,1.0,-122.30785499400385,11.0,0.0,10.0,10.0,93.0,9.0,10.0,14.0,1.0,14.0
2.0,1.0,1.0,1.0,-122.36863925023113,15.0,1.0,0.0,8.0,96.0,10.0,10.0,21.0,1.0,20.0
3.0,1.0,1.0,1.0,-122.30167806007238,11.0,0.0,10.0,10.0,94.0,9.0,10.0,15.0,1.5,20.0
2.0,1.0,1.0,0.0,-122.32311539904067,15.0,1.0,0.0,8.0,96.0,10.0,10.0,6.0,1.0,0.0
3.0,1.0,1.0,1.0,-122.3248832552434,3.0,0.0,1.0,10.0,100.0,10.0,10.0,25.0,1.5,20.0
2.0,1.0,1.0,1.0,-122.31356281044512,12.0,0.0,10.0,4.0,85.0,9.0,9.0,9.0,1.0,7.0
4.0,1.0,2.0,1.0,-122.3466774770061,7.0,0.0,10.0,10.0,97.0,10.0,10.0,20.0,2.0,12.0
2.0,0.0,1.0,1.0,-122.32639599096396,3.0,0.0,10.0,10.0,92.0,9.0,10.0,12.0,2.0,12.0
6.0,3.0,4.0,2.0,-122.35873528656684,15.0,0.0,4.0,10.0,98.0,10.0,10.0,12.0,1.5,20.0
2.0,1.0,1.0,1.5,-122.33909515157718,15.0,1.0,10.0,10.0,97.0,9.0,10.0,19.0,1.0,19.0
7.0,3.0,3.0,2.0,-122.4083888074941,15.0,0.0,6.0,10.0,100.0,10.0,10.0,18.0,1.75,20.0
1.0,1.0,1.0,1.0,-122.30346221642236,15.0,1.0,4.0,9.0,100.0,10.0,8.0,21.0,0.5,20.0
3.0,1.0,2.0,1.0,-122.29548181260728,15.0,1.0,10.0,10.0,96.0,10.0,10.0,19.0,1.5,20.0
3.0,1.0,2.0,1.0,-122.33215539804296,13.0,0.0,1.0,5.0,100.0,10.0,10.0,10.0,1.5,20.0
4.0,0.0,2.0,1.0,-122.36423521430773,15.0,0.0,3.0,10.0,97.0,10.0,10.0,14.0,4.0,6.0
2.0,1.0,1.0,1.5,-122.37393147214128,15.0,1.0,10.0,10.0,93.0,10.0,9.0,13.0,1.0,13.0
6.0,3.0,4.0,1.5,-122.37657992996256,0.0,0.0,1.0,10.0,100.0,10.0,10.0,15.0,1.5,20.0
2.0,1.0,1.0,1.0,-122.29468392754376,15.0,0.0,0.0,8.0,96.0,10.0,10.0,14.0,1.0,14.0
4.0,0.0,2.0,1.0,-122.33778254712875,13.0,0.0,10.0,10.0,97.0,10.0,10.0,9.0,4.0,20.0
4.0,1.0,3.0,1.0,-122.3389022718821,1.0,0.0,0.0,8.0,96.0,10.0,10.0,19.0,2.0,20.0
2.0,1.0,1.0,1.0,-122.32054223430286,14.0,1.0,10.0,10.0,99.0,10.0,10.0,20.0,1.0,20.0
3.0,1.0,1.0,1.0,-122.33570828283872,1.0,0.0,10.0,10.0,98.0,10.0,10.0,14.0,1.5,10.0
6.0,3.0,2.0,3.0,-122.35629916528968,15.0,0.0,1.0,10.0,96.0,10.0,10.0,11.0,1.5,20.0
