accommodates,bedrooms,beds,bathrooms,longitude,availability_30,availability_365,number_of_reviews,reviews_per_month,review_scores_checkin,review_scores_location,review_scores_value,nb_amenities,people_per_bedroom,estimated_months_active
2.0,0.0,1.0,1.0,2.3478520222447226,0.0,10.0,3.0,10.0,10.0,9.0,0.0,19.0,6.0,9.0
1.0,1.0,1.0,1.0,2.33996,4.0,10.0,10.0,10.0,6.0,5.0,10.0,20.0,0.0,10.0
4.0,2.0,3.0,1.0,2.3645391,0.0,10.0,1.0,0.0,10.0,9.0,10.0,12.0,3.0,6.0
4.0,0.0,2.0,1.0,2.3644656974621303,21.0,10.0,10.0,10.0,10.0,0.0,10.0,1.0,9.0,10.0
4.0,2.0,2.0,1.0,2.337,10.0,10.0,10.0,10.0,10.0,9.0,6.0,9.0,3.0,10.0
3.0,1.0,2.0,1.0,2.36212,2.0,10.0,10.0,10.0,8.0,8.0,6.0,7.0,4.0,10.0
3.0,1.0,1.0,1.0,2.34064,29.0,3.0,0.0,7.0,4.0,4.0,3.0,0.0,4.0,0.0
3.0,1.0,2.0,1.0,2.32724,10.0,10.0,10.0,10.0,10.0,2.0,10.0,20.0,4.0,10.0
6.0,3.0,4.0,2.0,2.3623,1.0,10.0,10.0,10.0,6.0,1.0,2.0,8.0,4.0,10.0
2.0,1.0,1.0,1.0,2.35212,11.0,10.0,3.0,10.0,10.0,10.0,10.0,20.0,1.0,10.0
4.0,1.0,2.0,1.0,2.2981996,6.0,10.0,0.0,7.0,4.0,4.0,3.0,20.0,6.0,0.0
2.0,1.0,1.0,1.5,2.35472,0.0,10.0,10.0,10.0,10.0,2.0,8.0,20.0,1.0,10.0
6.0,3.0,3.0,2.0,2.34336,1.0,10.0,0.0,7.0,4.0,4.0,3.0,20.0,4.0,0.0
2.0,0.0,1.0,1.0,2.273902,24.0,10.0,10.0,10.0,3.0,10.0,2.0,20.0,6.0,10.0
3.0,1.0,2.0,1.0,2.355580105625785,5.0,10.0,10.0,10.0,10.0,6.0,10.0,4.0,4.0,10.0
4.0,2.0,2.0,1.0,2.300389,12.0,10.0,10.0,10.0,10.0,6.0,10.0,14.0,3.0,10.0
2.0,1.0,1.0,1.0,2.346688,0.0,10.0,1.0,10.0,9.0,9.0,9.0,20.0,1.0,10.0
4.0,1.0,2.0,1.0,2.2886032,5.0,10.0,1.0,10.0,10.0,10.0,10.0,12.0,6.0,10.0
2.0,0.0,1.0,1.0,2.299133,7.0,10.0,4.0,10.0,9.0,9.0,1.0,7.0,6.0,10.0
2.0,1.0,1.0,1.0,2.3582147,17.0,10.0,0.0,7.0,4.0,4.0,3.0,1.0,1.0,0.0
2.0,1.0,1.0,1.0,2.3510651,2.0,10.0,10.0,10.0,10.0,8.0,10.0,13.0,1.0,10.0
2.0,1.0,1.0,1.0,2.342941090464592,15.0,10.0,7.0,10.0,9.0,9.0,9.0,14.0,1.0,10.0
6.0,3.0,4.0,2.0,2.2612505300808614,29.0,3.0,0.0,7.0,4.0,4.0,3.0,20.0,4.0,0.0
9.0,5.0,4.0,3.0,2.32024,12.0,10.0,10.0,10.0,10.0,8.0,6.0,20.0,4.0,10.0
3.0,1.0,2.0,1.0,2.3923314608243755,19.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,4.0,10.0
4.0,1.0,2.0,1.0,2.2898288,9.0,10.0,10.0,10.0,9.0,10.0,10.0,20.0,6.0,10.0
2.0,1.0,1.0,1.0,2.3646290908878616,7.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,1.0,10.0
2.0,0.0,1.0,1.0,2.29114,0.0,10.0,10.0,4.0,9.0,9.0,10.0,10.0,6.0,10.0
2.0,1.0,1.0,1.5,2.3428973,0.0,0.0,0.0,7.0,4.0,4.0,3.0,5.0,1.0,0.0
6.0,2.0,4.0,1.0,2.353855654052321,4.0,10.0,8.0,10.0,10.0,0.0,9.0,20.0,6.0,10.0
1.0,1.0,1.0,1.0,2.35004,0.0,10.0,8.0,10.0,9.0,10.0,9.0,16.0,0.0,10.0
6.0,3.0,4.0,2.5,2.35390478745103,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,4.0,10.0
2.0,0.0,0.0,1.0,2.3808385,0.0,10.0,3.0,10.0,10.0,9.0,10.0,5.0,6.0,10.0
2.0,1.0,1.0,1.0,2.331929496741354,17.0,10.0,10.0,10.0,10.0,8.0,10.0,20.0,1.0,10.0
2.0,0.0,1.0,1.0,2.3216099,13.0,10.0,10.0,10.0,10.0,0.0,10.0,20.0,6.0,10.0
2.0,1.0,1.0,1.0,2.3799951374530792,25.0,10.0,2.0,10.0,9.0,9.0,9.0,20.0,1.0,10.0
1.0,1.0,1.0,1.0,2.3947823465422395,1.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,10.0
6.0,3.0,3.0,3.0,2.36879,1.0,10.0,10.0,10.0,10.0,8.0,10.0,20.0,4.0,7.0
6.0,2.0,3.0,2.5,2.303375983650953,12.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,6.0,10.0
4.0,1.0,2.0,1.0,2.350257620045264,4.0,10.0,2.0,10.0,9.0,10.0,1.0,20.0,6.0,10.0
2.0,0.0,1.0,1.0,2.3666,3.0,10.0,10.0,10.0,10.0,5.0,10.0,20.0,6.0,10.0
2.0,1.0,1.0,1.0,2.40445,11.0,10.0,10.0,10.0,6.0,5.0,10.0,10.0,1.0,10.0
2.0,1.0,1.0,1.0,2.3519328,12.0,10.0,10.0,10.0,10.0,9.0,10.0,4.0,1.0,10.0
5.0,3.0,3.0,2.0,2.26348,29.0,3.0,0.0,7.0,4.0,4.0,3.0,20.0,2.0,0.0
2.0,1.0,1.0,1.0,2.3803158100321054,2.0,10.0,10.0,10.0,3.0,9.0,1.0,3.0,1.0,10.0
2.0,1.0,1.0,1.0,2.4091925,0.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,1.0,10.0
5.0,4.0,4.0,2.0,2.37063,2.0,10.0,10.0,10.0,7.0,1.0,10.0,16.0,1.0,10.0
2.0,1.0,0.0,1.0,2.3402687491242635,8.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,1.0,10.0
8.0,4.0,9.0,4.0,2.27156,1.0,10.0,10.0,10.0,10.0,5.0,10.0,20.0,10.0,10.0
2.0,1.0,1.0,1.0,2.345387695518076,6.0,10.0,2.0,10.0,9.0,9.0,1.0,14.0,1.0,10.0
4.0,2.0,2.0,1.0,2.36948,0.0,0.0,10.0,10.0,10.0,10.0,10.0,7.0,3.0,10.0
2.0,1.0,1.0,1.0,2.37491,7.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,10.0
2.0,1.0,2.0,1.0,2.2779381,0.0,10.0,10.0,10.0,2.0,10.0,10.0,14.0,1.0,10.0
4.0,2.0,2.0,1.0,2.30703,0.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,3.0,10.0
8.0,2.0,4.0,2.0,2.366326527775004,3.0,10.0,7.0,10.0,10.0,10.0,10.0,2.0,10.0,10.0
4.0,1.0,1.0,1.0,2.382679157295406,3.0,10.0,5.0,10.0,10.0,9.0,9.0,18.0,6.0,10.0
2.0,0.0,1.0,1.0,2.3489114797500497,4.0,10.0,2.0,10.0,10.0,9.0,10.0,20.0,6.0,10.0
4.0,2.0,2.0,1.0,2.2649138,0.0,10.0,3.0,10.0,9.0,9.0,9.0,20.0,3.0,10.0
4.0,1.0,2.0,1.0,2.344541930688493,0.0,10.0,10.0,10.0,2.0,7.0,10.0,14.0,6.0,10.0
2.0,1.0,1.0,1.0,2.369936352836441,0.0,10.0,6.0,10.0,10.0,9.0,9.0,2.0,1.0,10.0
2.0,1.0,1.0,1.0,2.362946972335013,1.0,10.0,0.0,7.0,4.0,4.0,3.0,20.0,1.0,0.0
2.0,1.0,1.0,1.0,2.334557,13.0,10.0,10.0,10.0,9.0,4.0,4.0,11.0,1.0,10.0
4.0,1.0,1.0,1.0,2.385647299466639,0.0,10.0,10.0,10.0,10.0,5.0,7.0,10.0,6.0,10.0
1.0,0.0,1.0,1.0,2.37616,1.0,10.0,10.0,10.0,10.0,4.0,7.0,20.0,1.0,10.0
3.0,1.0,2.0,1.0,2.392663617682389,17.0,10.0,10.0,10.0,5.0,10.0,9.0,20.0,4.0,10.0
2.0,1.0,1.0,1.5,2.3758352,18.0,10.0,1.0,8.0,9.0,9.0,9.0,2.0,1.0,1.0
2.0,1.0,1.0,1.0,2.3321946,2.0,10.0,3.0,5.0,10.0,9.0,0.0,20.0,1.0,10.0
2.0,1.0,1.0,1.0,2.2599732,28.0,3.0,0.0,7.0,4.0,4.0,3.0,20.0,1.0,0.0
6.0,2.0,3.0,1.5,2.372668524911961,1.0,10.0,10.0,10.0,10.0,3.0,10.0,4.0,6.0,10.0
2.0,1.0,1.0,1.0,2.34047,11.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,1.0,10.0
2.0,1.0,2.0,1.0,2.384103,1.0,10.0,10.0,10.0,0.0,10.0,10.0,20.0,1.0,10.0
2.0,1.0,1.0,1.0,2.3248564,1.0,10.0,4.0,10.0,9.0,9.0,9.0,4.0,1.0,10.0
2.0,1.0,0.0,1.0,2.2727289,2.0,10.0,10.0,10.0,10.0,7.0,10.0,5.0,1.0,10.0
4.0,2.0,2.0,1.0,2.328156200994203,0.0,10.0,0.0,7.0,4.0,4.0,3.0,20.0,3.0,0.0
6.0,2.0,2.0,1.0,2.37829,7.0,10.0,10.0,10.0,10.0,10.0,10.0,17.0,6.0,10.0
3.0,2.0,2.0,2.0,2.393253,5.0,10.0,2.0,10.0,9.0,9.0,1.0,9.0,1.0,10.0
2.0,1.0,1.0,1.0,2.3673901,20.0,10.0,3.0,10.0,10.0,9.0,2.0,20.0,1.0,10.0
2.0,1.0,1.0,1.0,2.34259,11.0,10.0,10.0,10.0,10.0,1.0,10.0,20.0,1.0,10.0
2.0,0.0,1.0,1.0,2.3798317695276627,3.0,10.0,10.0,10.0,4.0,8.0,10.0,8.0,6.0,10.0
3.0,1.0,1.0,1.0,2.35469,0.0,10.0,4.0,10.0,9.0,9.0,1.0,20.0,4.0,10.0
5.0,3.0,3.0,1.5,2.3388705,0.0,10.0,10.0,10.0,9.0,10.0,2.0,16.0,2.0,10.0
2.0,1.0,1.0,1.0,2.2974937732613023,23.0,10.0,4.0,10.0,10.0,10.0,10.0,20.0,1.0,10.0
2.0,1.0,1.0,1.0,2.347448871693723,11.0,10.0,2.0,1.0,9.0,9.0,1.0,20.0,1.0,10.0
2.0,1.0,1.0,1.0,2.323885468028052,29.0,3.0,0.0,7.0,4.0,4.0,3.0,20.0,1.0,0.0
2.0,1.0,1.0,1.0,2.308373739530213,13.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,1.0,10.0
2.0,1.0,2.0,1.0,2.31884,0.0,10.0,10.0,10.0,9.0,2.0,10.0,5.0,1.0,10.0
4.0,1.0,1.0,1.0,2.2980095640847,2.0,10.0,1.0,10.0,9.0,9.0,9.0,8.0,6.0,7.0
2.0,1.0,0.0,1.0,2.3747200546108846,29.0,3.0,0.0,7.0,4.0,4.0,3.0,20.0,1.0,0.0
2.0,0.0,1.0,1.0,2.37369,23.0,4.0,3.0,10.0,10.0,9.0,2.0,11.0,6.0,10.0
3.0,2.0,2.0,1.5,2.30681,21.0,10.0,10.0,10.0,1.0,8.0,3.0,11.0,1.0,10.0
4.0,1.0,1.0,1.0,2.2968528730215327,29.0,8.0,0.0,7.0,4.0,4.0,3.0,20.0,6.0,0.0
2.0,1.0,1.0,1.0,2.337255759277893,26.0,10.0,0.0,7.0,4.0,4.0,3.0,3.0,1.0,0.0
3.0,1.0,2.0,1.0,2.320773634196728,0.0,10.0,4.0,10.0,10.0,9.0,9.0,4.0,4.0,10.0
2.0,1.0,2.0,1.0,2.35543,2.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,1.0,10.0
1.0,1.0,1.0,1.0,2.367121375377757,0.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,0.0,10.0
6.0,3.0,9.0,2.0,2.31833,2.0,10.0,10.0,10.0,8.0,10.0,10.0,20.0,4.0,10.0
2.0,1.0,1.0,1.0,2.34003,1.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,1.0,10.0
2.0,0.0,1.0,1.0,2.33549,29.0,10.0,10.0,10.0,9.0,10.0,10.0,8.0,6.0,10.0
2.0,1.0,1.0,1.0,2.33395,0.0,10.0,3.0,10.0,9.0,10.0,9.0,20.0,1.0,10.0
3.0,0.0,2.0,1.0,2.2918837878548404,6.0,10.0,0.0,7.0,4.0,4.0,3.0,16.0,8.0,0.0
2.0,1.0,1.0,1.0,2.3823172,0.0,10.0,1.0,8.0,9.0,9.0,9.0,20.0,1.0,1.0
2.0,1.0,1.0,1.0,2.3722417109362133,22.0,10.0,0.0,7.0,4.0,4.0,3.0,19.0,1.0,0.0
6.0,2.0,4.0,1.0,2.3513,1.0,10.0,0.0,7.0,4.0,4.0,3.0,20.0,6.0,0.0
4.0,1.0,2.0,1.0,2.32522,0.0,0.0,10.0,10.0,1.0,9.0,10.0,20.0,6.0,10.0
4.0,1.0,2.0,1.5,2.34724,0.0,10.0,10.0,0.0,9.0,9.0,10.0,20.0,6.0,10.0
6.0,3.0,3.0,3.0,2.33527,5.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,4.0,10.0
4.0,2.0,2.0,1.0,2.3124451,3.0,10.0,0.0,7.0,4.0,4.0,3.0,6.0,3.0,0.0
2.0,1.0,1.0,1.0,2.32934,3.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,1.0,10.0
4.0,2.0,2.0,1.0,2.34631,7.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,3.0,10.0
4.0,2.0,2.0,2.0,2.337728077458449,0.0,0.0,10.0,10.0,1.0,6.0,1.0,20.0,3.0,10.0
2.0,1.0,1.0,1.0,2.3645656333690286,14.0,10.0,1.0,4.0,9.0,9.0,9.0,20.0,1.0,10.0
6.0,2.0,3.0,1.0,2.35376,13.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,10.0
