accommodates,bedrooms,beds,bathrooms,latitude,longitude,neighbourhood_cleansed,property_type,room_type,minimum_nights,availability_30,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,month,day_of_week,nb_amenities,amenities,distance_center_km,lat_from_median,lon_from_median,people_per_bedroom,amenities_per_person,estimated_months_active,price
4.0,1.0,2.0,1.0,47.639810187873806,-122.37380062876858,81.0,0.0,0.0,2.0,30.0,353.0,19.0,4.35,95.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,16.0,1401.0,4.863936069525456,0.016209256999161425,0.04492619390319419,2.0,3.2,4.269662921348315,125.0
8.0,3.0,3.0,3.0,47.63556952470362,-122.3616525946424,81.0,9.0,0.0,3.0,0.0,153.0,5.0,0.97,96.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,0.0,14.0,2953.0,3.9394454260829908,0.01196859382897486,0.03277815977700982,2.0,1.5555555555555556,4.672897196261682,348.0
1.0,1.0,1.0,1.0,47.63497873047923,-122.35886941246471,81.0,9.0,1.0,1.0,28.0,363.0,7.0,0.9,97.0,9.0,8.0,10.0,10.0,10.0,10.0,12.0,0.0,11.0,3044.0,3.770676873535001,0.01137779960458829,0.029994977599329786,0.5,5.5,7.0,45.0
4.0,1.0,2.0,1.0,47.63936210298089,-122.37240255654484,81.0,0.0,0.0,2.0,16.0,351.0,2.0,0.83,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,12.0,1927.0,4.758898941484883,0.01576117210624517,0.043528121679457854,2.0,2.4,2.1505376344086025,150.0
2.0,0.0,1.0,1.0,47.6346162843086,-122.3580227325536,81.0,0.0,0.0,3.0,12.0,201.0,11.0,1.98,98.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,20.0,1942.0,3.703068508396244,0.011015353433954544,0.029148297688209368,2.0,6.666666666666667,5.288461538461538,80.0
4.0,1.0,2.0,1.0,47.63800137747846,-122.36100481691408,81.0,0.0,0.0,2.0,19.0,351.0,71.0,4.7,90.0,10.0,8.0,10.0,10.0,10.0,9.0,12.0,0.0,17.0,1922.0,4.140047873246383,0.014400446603815453,0.032130382048691786,2.0,3.4,14.791666666666668,110.0
3.0,1.0,2.0,1.0,47.63199585097701,-122.3716576650487,81.0,9.0,0.0,3.0,0.0,310.0,9.0,0.46,91.0,9.0,10.0,9.0,9.0,10.0,10.0,12.0,0.0,11.0,3065.0,4.118609188025163,0.00839492010236853,0.042783230183317755,1.5,2.75,16.07142857142857,148.0
4.0,2.0,2.0,1.5,47.63868624334983,-122.37079986877468,81.0,9.0,0.0,2.0,0.0,308.0,41.0,1.38,98.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,0.0,17.0,1984.0,4.625072096924343,0.015085312475186186,0.041925433909298704,1.3333333333333333,3.4,27.7027027027027,350.0
3.0,1.0,2.0,1.5,47.633650043720536,-122.36044969320191,81.0,0.0,0.0,2.0,8.0,339.0,18.0,3.35,98.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,15.0,1221.0,3.71286273941464,0.010049112845891273,0.031575258336530965,1.5,3.75,5.217391304347826,150.0
5.0,1.0,1.0,1.0,47.63430017546052,-122.35705980444612,81.0,9.0,1.0,1.0,0.0,285.0,9.0,1.99,100.0,10.0,10.0,9.0,9.0,10.0,10.0,12.0,0.0,12.0,26.0,3.6356812051108887,0.010699244585872236,0.028185369580739916,2.5,2.0,4.306220095693781,150.0
2.0,0.0,1.0,1.0,47.62834386974812,-122.36640542137962,81.0,0.0,0.0,1.0,28.0,87.0,20.0,2.29,92.0,9.0,9.0,9.0,9.0,9.0,9.0,12.0,0.0,15.0,2737.0,3.5542957357005247,0.004742938873476987,0.03753098651424125,2.0,5.0,8.368200836820083,100.0
10.0,4.0,4.0,3.0,47.63539394059413,-122.36899114110729,81.0,3.0,0.0,1.0,30.0,354.0,0.0,1.54,96.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,13.0,843.0,4.2571707754082055,0.011793009719482939,0.040116706241903444,2.0,1.1818181818181819,0.0,349.0
2.0,0.0,1.0,1.0,47.63803515893716,-122.36091010563622,81.0,3.0,0.0,2.0,30.0,89.0,3.0,1.06,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,14.0,315.0,4.139549216644203,0.014434228062512489,0.032035670770838465,2.0,4.666666666666667,2.5862068965517238,110.0
4.0,1.0,2.0,1.0,47.63933158548954,-122.36159942269484,81.0,9.0,0.0,2.0,0.0,295.0,1.0,0.16,100.0,8.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,18.0,1561.0,4.289372629179856,0.015730654614898754,0.03272498782945377,2.0,3.6,3.846153846153846,160.0
4.0,1.0,3.0,1.0,47.63530805145543,-122.36653170901198,81.0,9.0,0.0,3.0,30.0,89.0,26.0,0.8,95.0,10.0,10.0,9.0,10.0,10.0,9.0,12.0,0.0,6.0,686.0,4.132716190978035,0.011707120580787489,0.037657274146596365,2.0,1.2,28.88888888888889,130.0
2.0,0.0,1.0,1.0,47.63737488413853,-122.36941092468903,81.0,9.0,0.0,1.0,25.0,142.0,2.0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,18.0,1929.0,4.446503852177692,0.013773953263886085,0.04053648982365132,2.0,6.0,0.9523809523809523,99.0
2.0,0.0,1.0,1.0,47.63829756707327,-122.37377871072084,81.0,0.0,0.0,1.0,0.0,29.0,0.0,1.54,96.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,5.0,458.0,4.735297563518288,0.01469663619862871,0.04490427585545831,2.0,1.6666666666666667,0.0,100.0
3.0,1.0,1.0,1.0,47.63175343884966,-122.37127173011557,81.0,0.0,0.0,2.0,0.0,303.0,3.0,0.64,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,13.0,1798.0,4.079141533256149,0.008152507975012213,0.042397295250182765,1.5,3.25,4.054054054054054,137.0
3.0,1.0,1.0,1.0,47.63858056073184,-122.3753257408229,81.0,0.0,1.0,1.0,18.0,351.0,0.0,1.54,96.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,12.0,0.0,4.835652044275484,0.014979629857194254,0.04645130595751823,1.5,3.0,0.0,20.0
2.0,1.0,1.0,1.5,47.63788372174487,-122.3673710937777,81.0,13.0,0.0,4.0,0.0,212.0,0.0,1.54,96.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,17.0,1707.0,4.397300346255695,0.014282790870225881,0.038496658912322346,1.0,5.666666666666667,0.0,150.0
2.0,1.0,1.0,1.0,47.63751734544927,-122.36081167446434,81.0,0.0,0.0,2.0,15.0,331.0,44.0,5.64,94.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,0.0,16.0,2603.0,4.086715607858911,0.013916414574623559,0.03193723959896033,1.0,5.333333333333333,7.665505226480837,145.0
2.0,1.0,1.0,1.0,47.63687417802139,-122.37227171191188,81.0,13.0,1.0,1.0,30.0,364.0,10.0,2.5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,12.0,2948.0,4.5421718136374265,0.013273247146742051,0.043397277046494764,1.0,4.0,3.846153846153846,80.0
2.0,0.0,1.0,1.0,47.632562742655686,-122.36722284674144,81.0,9.0,0.0,3.0,18.0,321.0,77.0,4.12,98.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,18.0,1948.0,3.9334829552542256,0.008961811781041717,0.03834841187605775,2.0,6.0,18.246445497630333,95.0
4.0,3.0,3.0,2.5,47.63532192210432,-122.36612114800724,81.0,9.0,0.0,2.0,30.0,365.0,0.0,1.54,96.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,12.0,1134.0,4.114837601561045,0.011720991229672961,0.03724671314185457,1.0,2.4,0.0,400.0
2.0,1.0,1.0,2.0,47.63263390932941,-122.36931844777416,81.0,9.0,1.0,2.0,0.0,247.0,2.0,1.3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,12.0,3036.0,4.045696482891406,0.00903297845476203,0.04044401290877886,1.0,4.0,1.4285714285714284,85.0
2.0,1.0,1.0,1.0,47.63260003819552,-122.36995243412568,81.0,0.0,1.0,1.0,0.0,103.0,1.0,0.25,100.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,17.0,1172.0,4.075803782589111,0.008999107320875055,0.04107799926029543,1.0,5.666666666666667,2.857142857142857,70.0
